epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,learning_rate
1,1.1198700624880138,0.533687358127842,0.8073196212450663,0.6528179773262569,0.5654773217183963,9.999444846167477e-05
2,0.5863416580028892,0.7647778510088575,0.5184272094851449,0.7772504815033504,0.7601134657872469,9.997779521645796e-05
3,0.4805295752616095,0.8062362996886308,0.4847901087431681,0.7920442393847874,0.7852308887221926,9.995004437328871e-05
4,0.44620378039797254,0.8180742684062621,0.4518840341340928,0.8045940228870937,0.7935475676578442,9.991120277927231e-05
5,0.4232640927183085,0.826161736297863,0.45512711647010984,0.8047478411878858,0.7983487197236108,9.986128001799088e-05
6,0.4055255418967945,0.8327835520215073,0.4399141832476571,0.8096519382227034,0.8015771861508626,9.980028840713865e-05
7,0.3901596325012698,0.8383395173274799,0.4396692379599526,0.8082140002931867,0.801608839784079,9.972824299548321e-05
8,0.3780664595458207,0.8431476603883841,0.4373835406842686,0.8101481043157124,0.8017249721394064,9.964516155915172e-05
9,0.3661637512352767,0.8479871388734506,0.4296444718326841,0.8140009045600891,0.80837301114496,9.955106459724527e-05
10,0.35550197719249266,0.8521429702999125,0.42096021168288733,0.8180806651001885,0.8111679390412508,9.94459753267814e-05
11,0.34847107409791717,0.8550253424184252,0.4288491468344416,0.8146716462714332,0.8092727635502603,9.932991967696486e-05
12,0.34022253032663874,0.8584871391189003,0.4171760387363888,0.8201786946682703,0.8114747505565507,9.920292628279092e-05
13,0.3340949265550992,0.8613217578496754,0.4110754409006664,0.8213850359121958,0.8128527373589232,9.906502647797964e-05
14,0.327013754253413,0.8645293650294756,0.4059449469759351,0.8272962002527147,0.8167008497069943,9.891625428724384e-05
15,0.32187038304498944,0.8667724941115597,0.4153376487748964,0.8235351301374889,0.8180133913380817,9.875664641789557e-05
16,0.3167831865776001,0.8690876751419047,0.4183716933642115,0.8205454221793583,0.8122369308860934,9.858624225078862e-05
17,0.310583327434977,0.8721892175342059,0.39746981894686106,0.8312878367446718,0.8236353408727269,9.840508383060113e-05
18,0.30743440666083677,0.8730977303860334,0.39608354972941534,0.831482511191141,0.8240994784651681,9.821321585546263e-05
19,0.3030022202963484,0.8750679027938332,0.4122365042567253,0.8257090520291102,0.8188251961263606,9.801068566592498e-05
20,0.2991963316943626,0.8768859334669548,0.4143903390282676,0.8220846198853993,0.8129487846716127,9.779754323328222e-05
21,0.2947663838598108,0.8787651236191512,0.40060677840596154,0.8275821492785499,0.8195150122440147,9.757384114723987e-05
22,0.29219185730727043,0.8799995401269949,0.40930201219660894,0.8274799500192914,0.8192560167031472,9.733963460294041e-05
23,0.2885332157081318,0.8815736000403642,0.4111043399288541,0.8260547745795477,0.8160117230608199,9.709498138734437e-05
24,0.2853181637004617,0.882645651578264,0.4143145542059626,0.82484908472924,0.8158444334346056,9.683994186497161e-05
25,0.2824947520011871,0.8842295986717572,0.41373308428696226,0.824815361272721,0.8162785242309334,9.657457896300815e-05
