epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,learning_rate
1,1.2554333203020152,0.5130866476666858,1.2151768294776357,0.5286047989275398,0.17306943244252682,9.993832906395582e-05
2,1.1567233647519386,0.5832940707778373,1.1012101842135917,0.6363825311021107,0.3521408611603739,9.975348529157227e-05
3,1.05538228799028,0.6857418086793687,1.0146131530040647,0.7342379543839431,0.5852176502659624,9.944597532678118e-05
4,0.9746987554762099,0.7703341012112579,0.9972483530277159,0.745129487863401,0.6045844991977459,9.901664203302123e-05
5,0.9668110950648436,0.7762286544543261,0.9938292924950762,0.7485821174412239,0.6066385019176074,9.8466662183008e-05
6,0.9631033330632929,0.7796049337638052,0.9919278200079755,0.7497126881669207,0.6082012117272593,9.779754323328178e-05
7,0.959651335638169,0.7827551542666921,0.9864920988315489,0.7549798081560832,0.6114195155896247,9.7011119192374e-05
8,0.9581929689262345,0.7840824587303296,0.9842610184739276,0.757227872929922,0.6127098850117374,9.610954559391697e-05
9,0.956456833066996,0.7857681296722233,0.9850475017617388,0.7561516529176293,0.6121375524205594,9.509529358847652e-05
10,0.9539863934293825,0.7880877559645134,0.9814721549429545,0.7591231014670395,0.6131374259568363,9.397114317029974e-05
11,0.9514669054432919,0.7906343560469778,0.9868711363978502,0.7534578239045492,0.6077590947603992,9.274017555754404e-05
12,0.9498898547295241,0.7919042769231295,0.9789263693297782,0.7618744460547843,0.615371574437822,9.140576474687253e-05
13,0.9470985430723046,0.7945762436989455,0.9766247301566892,0.7635784207320795,0.61760975819737,8.997156826556362e-05
14,0.9276129596414622,0.8149304114587126,0.9314031717253894,0.8108348773746956,0.8068366788584883,8.844151714648276e-05
15,0.8836189762890687,0.8595148439992938,0.9186124641720842,0.8218838863256501,0.8118932305219915,8.681980515339462e-05
16,0.876683485438252,0.8661089595298321,0.9173966864260231,0.8242176153310915,0.8185086437093071,8.511087728614857e-05
17,0.8711752023613244,0.8715899541364078,0.9104850103215474,0.8308902833519912,0.8254741067302415,8.33194175972427e-05
18,0.8679167603888707,0.8747414538734838,0.9217485727333441,0.8193457780814752,0.8162017356217582,8.145033635316125e-05
19,0.8657909837382579,0.8766800496313307,0.9163406854722558,0.8239582311816331,0.8176924886920103,7.950875657567632e-05
20,0.8630667740141439,0.8794625757033365,0.9130057169169914,0.8275086007467131,0.8219906542863599,7.750000000000014e-05
